GRB2;PIK3CB;PDGFRB;HRAS;CDKN2B;FOXO1;PIK3C2B;MDM2;AKT2;EGFR;ERBB2;PIK3R1;FOXO4;MDM4;FGFR1;CDK4;PIK3CD;PIK3R2;SRC;KRAS;CDK6;FGFR2;PDPK1;CBL;CCND2;MET;IRS1;SPRY2;NF1;PDGFRA;BRAF;AKT3;PIK3CG;PIK3CA;ERBB3;IGF1R;AKT1;FOXO3;CDKN2A;CCND1;PIK3C2G;RB1;TP53;CDKN2C;PTEN;NRAS;RAF1;ARAF;GAB1
7.895815345;4.506832971;6.477856198;6.428745953;4.484575729;6.344542983;6.741696261;4.578464948;4.251721057;7.467592615;5.980488617;5.831686575;6.19717859;3.82701458;5.282488662;8.281422825;5.836509633;5.221455991;4.737404049;9.461676153;3.97110365;4.975982449;5.741634137;4.702582564;6.538763693;5.557670064;5.532971169;5.370621031;4.978337944;6.630256569;4.666917656;4.466936898;4.337510434;4.926885201;7.16765932;7.672701567;6.927904524;5.553340669;6.519537157;6.163116487;4.65112014;5.266499189;5.68472765;5.19925582;5.332169206;6.302854897;6.773799016;6.005669604;4.745230955
8.229419101;4.937337538;7.308108596;6.989123942;4.385130397;7.461352667;6.788829729;4.55514986;4.18775257;5.570972549;5.382472181;6.608022509;4.878728806;3.716681852;5.512507921;9.977800473;5.938404967;4.96004702;4.582377121;9.716599595;3.964048202;6.204107213;5.927194637;4.495811365;6.264995166;6.451573728;5.924652872;6.962916122;5.129233328;7.114622925;4.51304564;4.262839823;4.619502451;7.754681414;6.821367412;6.498879876;6.631541112;6.477930661;6.815667077;4.969197838;4.101394502;5.584871347;5.712181666;6.395091504;5.643207738;6.222575301;7.115008872;6.308109013;5.150183763
7.498590799;4.555460826;5.209800785;6.874055112;4.280714142;5.646118532;5.9471499;4.487639504;4.441726912;5.603326496;5.756383969;5.01939713;5.602516854;3.710689162;5.401768831;10.04362059;4.886927875;5.177025746;4.612564152;7.777747036;4.231878148;4.757358063;5.707784915;4.654470178;4.60565833;6.261660097;5.222990453;4.766802753;5.162313107;4.20767004;4.724900994;3.963056666;3.972527085;4.972016027;8.537731589;6.614607858;7.701187781;4.92885899;4.911124597;7.503985587;3.983590086;5.433945894;4.621839153;5.812741081;6.245905319;7.721850174;7.081948223;7.577370623;4.559852941
7.540747189;4.518029732;7.602457613;6.181721583;4.419609714;7.289678965;7.518802127;4.204468161;4.311991884;5.464747023;6.138235234;6.738388977;4.989809464;3.965561048;5.565542461;10.08401;4.766849046;4.999833167;4.829151134;8.546588942;4.120591479;4.638373269;6.41613068;4.708051084;6.504589893;8.343444638;6.545986901;8.391701692;5.25001456;7.332722109;4.263835966;4.046954617;4.307444452;6.07191517;9.735953121;6.392393683;6.358841516;6.379508989;5.070961769;8.019116951;3.855063023;6.273325516;6.767385044;6.360042646;6.385175697;6.48013762;7.334922605;7.800999896;5.063213364
7.654437727;4.267232179;6.129416509;5.93869319;4.424677482;6.240732094;7.349737329;4.576822573;4.194157474;5.085799357;5.886513398;5.776615256;5.321099313;3.752517751;6.618472883;9.8878694;4.865650027;5.327532635;4.643068872;9.245275894;4.345400238;5.59537974;6.091782722;4.825814282;6.182180186;6.331606797;5.449821814;7.845056793;4.84938601;4.231934236;5.834816864;4.348051646;3.963053225;6.317842198;4.851514781;7.724403728;7.229912361;6.406671097;5.59371048;9.736997858;4.277417809;5.290840648;4.541908149;7.09410991;6.825424183;6.943912687;7.800600659;7.008270798;4.122786928
8.995959807;4.881682892;5.277736901;6.368568805;4.295491923;8.177431704;7.889782538;5.029728194;4.467255277;4.763785169;4.605654487;7.643023829;5.131713177;4.671320993;5.695199931;9.792342107;7.399762814;5.007129267;5.32137269;8.703287795;4.582914569;4.615927837;6.19988483;5.22315209;9.894315706;4.810561535;4.521050919;5.713198855;5.670830728;4.111451233;5.497877656;4.405766675;4.913626655;7.68572043;3.81973365;3.951183493;6.280419356;5.17095607;6.146480268;4.363344214;3.961839045;7.450730125;7.075903939;7.946261374;8.41691669;8.055885619;8.208300901;7.126363554;4.30981979
9.049639196;4.67548514;6.010054929;6.907729994;4.508124446;7.235082376;8.516006796;4.487553888;4.455677015;5.39437202;4.640365648;9.168157466;5.23755572;4.223382947;5.254039881;10.94190873;4.374013569;5.546490032;4.937150634;9.877077206;4.638908705;5.028110095;6.264897265;4.456770126;6.794357757;5.336623145;5.596560132;6.012953025;5.684775582;10.12503645;5.457255242;4.552988452;4.108010391;7.106577956;9.919490039;6.812938747;7.52392143;6.825584893;4.622059977;7.735950126;3.960591321;6.437769721;4.272903677;9.004754357;5.972430761;7.147479159;9.384668622;6.544610754;6.138737237
8.673444199;4.764882927;4.830208795;6.816458418;4.170945835;5.597914219;7.168796507;4.290856675;4.372245354;6.190476984;6.692611564;5.420384323;4.956096055;3.653529343;5.175056693;10.0790674;4.8288911;4.916603601;4.834078944;9.900884216;4.198881879;4.574576667;6.119940374;4.502959845;4.212969942;9.043361604;9.810440527;6.302922373;6.265223001;4.179373373;6.821276506;4.403081608;3.939137705;6.318958409;8.638540317;7.25721978;7.267095272;6.415385765;8.822294435;6.020612247;3.969042868;4.93547928;7.003033506;6.685695945;6.397062752;7.053028318;8.278028973;6.834360712;4.521442531
7.720216594;4.922495755;5.397289071;6.98368732;4.185285452;8.471801339;6.645556632;4.631864899;4.441898602;5.796560912;6.012359582;6.777483287;4.93984739;3.911349743;8.190779882;9.750669065;6.347709624;5.035062684;4.913639345;9.083658024;4.241038884;6.636161593;6.092478595;4.406121815;6.782356493;7.606752534;7.397790947;8.509817401;5.618474227;4.098868846;4.938429915;4.05835381;3.938644469;6.91330772;5.392723965;5.049731249;7.579772601;6.087879262;5.342637894;7.955795683;3.924074536;6.74301278;6.55138475;7.412172737;5.247639133;8.572640211;8.043715535;6.910041818;5.041241038
7.998762484;4.627580082;7.34240677;6.387821579;4.330984969;8.005575039;7.961779002;4.549270814;4.201452715;5.84275114;5.726722803;7.924530102;5.415153497;3.764670669;5.509003077;8.86195678;5.470071969;4.582149219;4.710965618;9.083016822;3.938086617;5.91621333;6.150846459;4.454677197;6.216362212;6.859469194;6.337079179;7.867295332;5.002575376;7.380279395;4.304055198;4.244665935;4.93443515;7.423203385;8.115043968;6.439092401;7.05316458;6.815323679;5.348687232;8.851541277;3.930021441;6.30629259;5.371082271;6.249081327;6.189272299;7.152579;8.12705791;7.442219516;5.201721465
